rank,name,city,state
77,Doon Business School,Dehradun,Uttarakhand
78,FISAT Business School,Angamaly,Kerala
79,ITS – Institute of Technology and Science,Ghaziabad,Uttar Pradesh
80,Ramaiah Institute of Management Studies,Bengaluru,Karnataka
81,Suryadatta Institute of Management,Pune,Maharashtra
82,GITAM School of International Business,Visakhapatnam,Andhra Pradesh
83,MIT Group of Institutes,Ujjain,Madhya Pradesh
84,KLE Technological University,Hubli,Karnataka
85,SONA School of Management,Salem,Tamil Nadu
86,DBIMSCA,Bengaluru,Karnataka
87,DCSMAT,Trivandrum,Kerala
88,G H Raisoni School of Business Management,Nagpur,Maharashtra
89,Indore Indira Business School,Indore,Madhya Pradesh
90,ISME,Bengaluru,Karnataka
91,Dr. Gaur Hari Singhania Institute of Management,Kanpur,Uttar Pradesh
92,EMPI Business School,New Delhi,Delhi
93,KLS Gogte Institute of Technology,Belagavi,Karnataka
94,CMR Institute of Management Studies,Bengaluru,Karnataka
95,ICBM-School of Business Excellence,Hyderabad,Telangana
96,Siva Sivani Institute of Management,Secunderabad,Andhra Pradesh
97,Master School of Management,Meerut,Uttar Pradesh
98,School of Management Sciences,Varanasi,Uttar Pradesh
99,Rukmini Devi Institute of Advanced Studies,Delhi,Delhi
100,Asia Pacific Institute of Management,Delhi,Delhi
